trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
320,False,"{'a': 0.99, 'e': 0.040110887486875496}",20,8,6.368044654992935,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
321,False,"{'a': 0.99, 'e': 0.03970977861200674}",35,15,-29.16182158518111,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
322,False,"{'a': 0.99, 'e': 0.039312680825886674}",25,2,32.03698148053487,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.99, 'e': 0.038919554017627804}",25,13,21.972500923606518,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.99, 'e': 0.03853035847745152}",20,0,28.942051619159546,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
325,False,"{'a': 0.99, 'e': 0.03814505489267701}",20,0,3.858245836502185,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
326,False,"{'a': 0.99, 'e': 0.03776360434375024}",20,0,30.12579181354349,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.99, 'e': 0.03738596830031274}",20,5,25.738944999167273,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.99, 'e': 0.03701210861730961}",20,8,10.647015701251748,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
329,False,"{'a': 0.99, 'e': 0.03664198753113651}",30,13,29.093430478653524,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.99, 'e': 0.036275567655825146}",20,14,12.471804200846181,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.99, 'e': 0.03591281197926689}",25,14,18.43427598330544,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.99, 'e': 0.03555368385947423}",35,24,22.84243598238172,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.99, 'e': 0.035198147020879485}",20,12,15.50935209644743,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.99, 'e': 0.03484616555067069}",25,0,44.99896623054624,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
335,False,"{'a': 0.99, 'e': 0.03449770389516398}",35,28,14.073190080013152,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.99, 'e': 0.03415272685621234}",30,18,19.909661035328536,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.99, 'e': 0.03381119958765022}",20,12,11.40752816919461,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.99, 'e': 0.03347308759177372}",30,10,32.98932329159925,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.99, 'e': 0.03313835671585598}",20,13,-8.50894419167066,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
