trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",30,0,-13.524096222899049,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,4,-36.091198249818206,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",20,0,-25.100039226144645,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,0,-17.63010614980791,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",20,0,2.5746954717850303,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",20,14,-33.56616931708343,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,5,20.12931147003189,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",20,0,9.851833796549853,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,16,4.719762666707207,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,10,14.834300483432678,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-51.51856160930636,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",25,20,9.048747082645441,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,16.877090473422435,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",25,0,15.04520614023834,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,0,-24.17070444236545,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,0,25.472473261545545,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
